gene,pval_spark,qval_spark,pval_spatialde,qval_spatialde,FSV,l,sig_spark,sig_spatialde,agreement
GBP1,2.28895125076178e-10,1.86700934986187e-07,1.9342461304860947e-06,0.0007770833829227,0.2615297390719268,0.1487542279755095,True,True,True
TFF3,2.97706082008631e-10,2.387802584824e-07,1.9567335037273818e-05,0.0052407845674831,0.2603242268962114,0.0877349947292727,True,True,True
CST3,4.23800994298063e-10,3.28951781680285e-07,0.0005445741244584,0.0709986591330644,0.1487107553189302,0.1487542279755095,True,False,False
COX6B1,4.22740176198033e-10,3.28951781680285e-07,0.0005263350937431,0.0697583913934171,0.1661377133091807,0.1487542279755095,True,False,False
SPP1,4.30649516047765e-10,3.2896172871932e-07,1.1654522347637196e-05,0.00348443114654,0.2248097650150948,0.1487542279755095,True,True,True
AEBP1,4.82908157906081e-10,3.63116956212991e-07,0.0010748985000799,0.11612516905065,0.1718319178442832,0.1487542279755095,True,False,False
WFDC2,5.58050938792576e-10,4.13163975521459e-07,0.0021902855803671,0.1793523020458609,0.1059489545081292,0.1487542279755095,True,False,False
RPS15,5.75511083233948e-10,4.16776788165934e-07,0.0388296487159203,0.7825559737179006,0.1020462365825577,0.1487542279755095,True,False,False
XBP1,5.80251624526795e-10,4.16776788165934e-07,0.0212209859035215,0.6310427514665137,0.1218308604792722,0.0877349947292727,True,False,False
RPLP2,5.90404725109295e-10,4.17833130779581e-07,0.0261301647223982,0.6800190236258139,0.1072678177904206,0.1487542279755095,True,False,False
APOD,6.45129394349908e-10,4.49945280427405e-07,0.0014552361815048,0.1417311844653553,0.1447581275392881,0.1487542279755095,True,False,False
RPL8,6.62940480289365e-10,4.55762364699455e-07,0.0021012924088853,0.1744179761594059,0.1617294705157036,0.252212021085435,True,False,False
ROMO1,7.05618896645888e-10,4.7827074348163e-07,0.0251554183930421,0.6733135194073901,0.113866960558527,0.0877349947292727,True,False,False
GRINA,7.70808528116618e-10,5.15200143998592e-07,0.0625689267832133,0.9244574205181828,0.1753474740158923,0.0517459530724249,True,False,False
LOX,8.702252252135171e-10,5.73681399680285e-07,0.0002430226088303,0.0385715883842353,0.1325303409137976,0.1487542279755095,True,True,True
RPN2,9.060016070705501e-10,5.89195212712745e-07,0.2367140946566786,0.974739246369655,0.2485911512293217,0.0305196765285746,True,False,False
LDHA,1.9405625995006e-09,1.24516915740162e-06,0.0157040415670725,0.5439703879088897,0.1063148879525609,0.1487542279755095,True,False,False
VIM,2.27465235536073e-09,1.44033462124271e-06,0.0015893674675981,0.1524843892794204,0.1337548456452685,0.1487542279755095,True,False,False
SH3BGRL,2.53390064486325e-09,1.58365588157157e-06,0.0104022592406042,0.4517017920220912,0.138260916688497,0.0877349947292727,True,False,False
CTSK,2.6504727301812603e-09,1.63527462890495e-06,1.4043697863841407e-05,0.0040121284386121,0.1221767907879821,0.252212021085435,True,True,True
MMP13,3.6537978198580804e-09,2.22576537586793e-06,9.020343740173686e-06,0.0028731533622032,0.2437046506727582,0.252212021085435,True,True,True
ENSA,3.7271110642223e-09,2.24204491549944e-06,0.0108623452326528,0.4639412302690527,0.0857605011482762,0.1487542279755095,True,False,False
MIEN1,4.6320192126359e-09,2.75199280675111e-06,0.1348722453092128,0.974739246369655,0.0480285756953257,0.1487542279755095,True,False,False
CERS2,5.65521363071753e-09,3.31892259855036e-06,0.0826059423129808,0.974739246369655,0.0620781087243794,0.1487542279755095,True,False,False
